Vraw= -61.561 mV | Vcorr=  -0.586 mV | G2 (105.0) | Idx: 5
Vraw= -60.385 mV | Vcorr=  -0.575 mV | G2 (105.0) | Idx: 6
Vraw= -61.601 mV | Vcorr=  -0.587 mV | G2 (105.0) | Idx: 7
Vraw= -58.491 mV | Vcorr=  -0.557 mV | G2 (105.0) | Idx: 8
Vraw= -57.651 mV | Vcorr=  -0.549 mV | G2 (105.0) | Idx: 9
Vraw= -54.645 mV | Vcorr=  -0.520 mV | G2 (105.0) | Idx: 10
Vraw= -59.129 mV | Vcorr=  -0.563 mV | G2 (105.0) | Idx: 11
Vraw= -62.279 mV | Vcorr=  -0.593 mV | G2 (105.0) | Idx: 12
Vraw= -61.538 mV | Vcorr=  -0.586 mV | G2 (105.0) | Idx: 13
Vraw= -58.543 mV | Vcorr=  -0.558 mV | G2 (105.0) | Idx: 14
Vraw= -61.297 mV | Vcorr=  -0.584 mV | G2 (105.0) | Idx: 15
Vraw= -57.664 mV | Vcorr=  -0.549 mV | G2 (105.0) | Idx: 16
Vraw= -56.829 mV | Vcorr=  -0.541 mV | G2 (105.0) | Idx: 17
Vraw= -59.005 mV | Vcorr=  -0.562 mV | G2 (105.0) | Idx: 18
Vraw= -55.461 mV | Vcorr=  -0.528 mV | G2 (105.0) | Idx: 19
Vraw= -63.692 mV | Vcorr=  -0.607 mV | G2 (105.0) | Idx: 20
Vraw= -65.130 mV | Vcorr=  -0.620 mV | G2 (105.0) | Idx: 21
Vraw= -57.659 mV | Vcorr=  -0.549 mV | G2 (105.0) | Idx: 22
Vraw= -52.583 mV | Vcorr=  -0.501 mV | G2 (105.0) | Idx: 23
Vraw= -57.926 mV | Vcorr=  -0.552 mV | G2 (105.0) | Idx: 24
Vraw= -55.370 mV | Vcorr=  -0.527 mV | G2 (105.0) | Idx: 25
Vraw= -57.144 mV | Vcorr=  -0.544 mV | G2 (105.0) | Idx: 26
Vraw= -54.365 mV | Vcorr=  -0.518 mV | G2 (105.0) | Idx: 27
Vraw= -57.541 mV | Vcorr=  -0.548 mV | G2 (105.0) | Idx: 28
Vraw= -57.586 mV | Vcorr=  -0.548 mV | G2 (105.0) | Idx: 29
Vraw= -59.041 mV | Vcorr=  -0.562 mV | G2 (105.0) | Idx: 30
Vraw= -56.704 mV | Vcorr=  -0.540 mV | G2 (105.0) | Idx: 31
Vraw= -59.360 mV | Vcorr=  -0.565 mV | G2 (105.0) | Idx: 32
Vraw= -60.141 mV | Vcorr=  -0.573 mV | G2 (105.0) | Idx: 33
Vraw= -53.997 mV | Vcorr=  -0.514 mV | G2 (105.0) | Idx: 34
Vraw= -50.462 mV | Vcorr=  -0.481 mV | G2 (105.0) | Idx: 35
Vraw= -46.561 mV | Vcorr=  -0.443 mV | G2 (105.0) | Idx: 36
Vraw= -46.695 mV | Vcorr=  -0.445 mV | G2 (105.0) | Idx: 37
Vraw= -47.489 mV | Vcorr=  -0.452 mV | G2 (105.0) | Idx: 38
